id,created_at,retweet_count,text
966892443118419968,2018-02-23 04:28:17,31,"Prof. Sandhya Visweswariah, chair of MRDG and co-chair, BSSE, has been elected as Fellow of The World Academy of Sciences https://t.co/7rGNO3fOyR https://t.co/in4RVRvBbo"
966659216034316289,2018-02-22 13:01:31,38,RT @drharshvardhan: #SupercriticalCarbonDioxideBraytonCycleTestLoop-Congratulation to extra –ordinary team of #IISc for achieving remarkabl…
966593095176302594,2018-02-22 08:38:46,26,RT @IndiaDST: Hon'ble Minister @drharshvardhan inaugurated India’s first #solar powered super critical #carbon #dioxide #Brayton cycle loop…
965810727591165952,2018-02-20 04:49:56,17,"RT @TIFRScience: Dr.Homi Bhabha, Nobel Prize laureate C.V. Raman and Indian politician, freedom-fighter and administrator, Sri Prakasa talk…"
965066364607070210,2018-02-18 03:32:06,9,"Academy Public Lecture: ""How things break: the mechanics of dynamic fracture"" by Prof K Ravi-Chandar, UT Austin - Feb 23, 3 pm @ Faculty Hall, IISc https://t.co/b1Oi43qniM"
964104251608727553,2018-02-15 11:49:00,6,"CBR Lecture: Prof. Michael Zigmond, Univ of Pittsburgh, will speak 
on ""Influence of life style on neurodegenerative disease and aging"" on Feb 21, 4 pm @ IISc Faculty Hall https://t.co/TPKDeaobU6"
963669985267732480,2018-02-14 07:03:23,18,Researchers at IISc and @TechnionLive show how screw-shaped nanomachines controlled by a rotating magnetic field can be used to measure fluid viscosity on the go https://t.co/4tfeOKPwDp https://t.co/xEONhWw9CE
963340480879632384,2018-02-13 09:14:03,16,"RT @USAndIndia: Minister Counselor Garverick visits @IISCBangalore Interdisciplinary Center for Energy Research, where #USIndiaScience are…"
962926442588745728,2018-02-12 05:48:48,3,"RT @IndianWomen_Sci: Deccan Herald speaking with Sandhya Visweswariah on  International Day of Women and Girls in Science
https://t.co/3zhF…"
961836899508789253,2018-02-09 05:39:21,33,"Neuroscientists at IISc have identified a key protein that is broken down very early on in Alzheimer's disease, and could potentially become an early biomarker https://t.co/FfPozOL1S4 https://t.co/OEISQiB2vm"
960802749821566976,2018-02-06 09:10:01,15,"RT @Connect_IISc: Being an ecologist working in the wild sure is fun, but it does come with challenges of its own. Researchers from IISc ex…"
960449292497383424,2018-02-05 09:45:30,11,RT @EPSRC: Researchers @CityUniLondon and @iiscbangalore are collaborating to create low-cost optical sensor platforms for water quality mo…
960024793264283650,2018-02-04 05:38:41,26,"IISc study identifies novel mechanism by which cancer cells spread and survive, and two potential drug targets to prevent metastasis https://t.co/IAXFC05QLl https://t.co/YJJtXRVfJS"
957936550834094081,2018-01-29 11:20:45,30,"IISc scientists have designed new nanotweezers to trap and manoeuvre objects as small as 100 nm: https://t.co/N6WsS7Aov5

@DBTIndia @IndiaDST https://t.co/ekjoY7b3W0"
955770936745062400,2018-01-23 11:55:23,16,"Nobel Laureate Dr. Richard Henderson delivered the MJ Thirumalachar &amp; MJ Narasimhan Memorial Lecture @ IISc today. He was awarded the 2017 Nobel Prize in Chemistry along with Dr. Jacques Dubochet &amp; Dr. Joachim Frank, for his work on developing cryo-electron microscopy. https://t.co/cbyuUjNR7Z"
952360151566106624,2018-01-14 02:02:08,17,"3rd Pratiksha Trust Distinguished Chair launched at IISc with Prof. Christos Papadimitriou of Columbia University as first holder. The 3 Chairs in neuromorphic computing &amp; data science are generously supported by Pratiksha Trust, founded by Mrs. &amp; Mr. Kris Gopalakrishnan. https://t.co/vlKcZign4i"
951423097688670208,2018-01-11 11:58:37,63,"Congratulations to alumnus Dr. K. Sivan for being appointed as @isro Chairman! 
https://t.co/3ihSGpb4oG"
944145360636616704,2017-12-22 09:59:30,32,Single device capable of dual transistor operation developed by IISc scientists https://t.co/5eFsPbK2rR https://t.co/c19SvQ2vgL
943802021697556480,2017-12-21 11:15:11,27,"This year's Distinguished Alumnus Awards were conferred on Mr. S. Ramadorai, former Vice Chair, TCS &amp; Mrs. Sudha Murty, Chair, Infosys Foundation during the 2nd IISc #alumnireunion https://t.co/0xaltgzsjj"
941927380762816512,2017-12-16 07:06:02,14,Panel discussion on Artificial Intelligence underway at IISc #alumnireunion https://t.co/V0BGYyfTOu
941877339306078209,2017-12-16 03:47:11,14,IISc Director addressing alumni at the 2nd annual #alumnireunion https://t.co/HgZG0NImbF
932912879677747205,2017-11-21 10:05:37,36,Novel quantum dot-graphene hybrid developed by IISc scientists may inspire highly efficient next-gen displays &amp; LEDs https://t.co/niYsVT2zc2 https://t.co/QNvrs7rNdH
931090830974115840,2017-11-16 09:25:27,23,Congratulations to alumna @KrishnanYamuna for winning the prestigious @InfosysPrize 2017! https://t.co/5vzHXlsV8Y
924162424403460096,2017-10-28 06:34:26,18,"IISc faculty members Mayank Shrivastava, Arpita Patra &amp; Praveen Kumar have received INAE Young Engineering Award https://t.co/jFEGOFpspY https://t.co/778ePvwxlN"
923774950304972800,2017-10-27 04:54:45,29,"Latest @Connect_IISc issue features stories on aerospace engg's 75 years, Hep-C &amp; dementia, rural innovation &amp; more! https://t.co/HLYLj33G8a https://t.co/5BGVAExonK"
922848475682709504,2017-10-24 15:33:16,161,RT @rashtrapatibhvn: IISc has worked through decades for the cause of science &amp; for the cause of India. Nation building is written into its…
922848438374371329,2017-10-24 15:33:08,175,RT @rashtrapatibhvn: #PresidentKovind attends round-table discussions and appreciates presentations made by leading scientists at @iiscbang…
922803268186652672,2017-10-24 12:33:38,198,RT @rashtrapatibhvn: #PresidentKovind visits Centre for Nano Science and Engineering at @iiscbangalore https://t.co/v1HGV77u4e
920890355985235969,2017-10-19 05:52:24,35,IISc among world's top 200 for engineering &amp; technology in latest @timeshighered subject-wise rankings https://t.co/BRkFF4GjsK
919778868248035328,2017-10-16 04:15:45,41,Profs. Aloke Paul (Mat Engg) &amp; Neelesh Mehta (ECE) win prestigious Shanti Swarup Bhatnagar Prize in Engineering Sciences - 2017 https://t.co/ianVzQDVaL
918449535797542914,2017-10-12 12:13:27,13,Novel drug delivery system for controlled release of aspirin developed by interdisciplinary IISc team https://t.co/uXw6rWMBQf https://t.co/ZiWB4xeie7
913078447638953985,2017-09-27 16:30:40,31,RT @VPSecretariat: Interacting with the Students of Indian Institute of Science. Young and budding scientists must be encouraged. https://t…
903564127276122112,2017-09-01 10:24:10,13,"Blending 2 geoengineering tools may help reduce global temperatures: study by IISc, @carnegiescience, Zhejiang Univ https://t.co/FK4x4rkLBh"
898772267085082625,2017-08-19 05:03:01,20,RT @CeNSEatIISc: @PathShodh healthcare start-up from @CeNSEatIISc  @iiscbangalore  wins FICCI #healthawards17 at 8th Health care excellence…
898510545531293697,2017-08-18 11:43:02,11,Study by IISc researchers provides clues about stress in elephants from freeze-dried dung. https://t.co/dl9sDMLG1N
895524249175080960,2017-08-10 05:56:33,33,RT @MicrosoftIndia: Find out how researchers at @iiscbangalore are using IoT and Microsoft #Azure to tackle water issues in cities. https:/…
894450594823323650,2017-08-07 06:50:14,12,Jindal Aluminium Group has made a generous philanthropic contribution to IISc for a new women's hostel block https://t.co/wQDH1bk90w https://t.co/NeHT29KEHK
891950409312423936,2017-07-31 09:15:23,12,New IISc study reveals interesting clues about how termites build huge mounds https://t.co/jOl7z2NZbO https://t.co/qK9O6PLpOT
889737757211348992,2017-07-25 06:43:06,21,IISc study opens up new avenues for finding special class of insulators https://t.co/251ER82462 https://t.co/uqWBRvotXq
888280604818538496,2017-07-21 06:12:54,4,"RT @ecedeptiisc: Inauguration of new Microelectronics and Photonics building by Director, #IISc on 17 July 2017 !!!!, https://t.co/GVLwM0UZ…"
883890865168568320,2017-07-09 03:29:38,17,Researchers @CeNSEatIISc develop tiny low-cost carbon monoxide sensor using honeycomb nanostructures https://t.co/rsx6mrf9FH https://t.co/Xz5aZv6Wlj
882552728987213824,2017-07-05 10:52:22,139,"RT @RashtrapatiBhvn: #PresidentMukherjee addressed the annual convocation of the Indian Institute of Science, Bengaluru today https://t.co/…"
882201627540676609,2017-07-04 11:37:13,19,GenomeIndia initiative - collaboration b/w institutes across the country - launched to unlock India's DNA https://t.co/QGPSuoLMHk https://t.co/cCAAg18JP9
881076052461625344,2017-07-01 09:04:35,42,RT @PrakashJavdekar: Had a wonderful interaction with students of Center for Nano Science &amp; Engineering at @iiscbangalore. https://t.co/vUr…
879293501132779520,2017-06-26 11:01:21,12,"Latest issue of IISc's Connect features field stations, Kanishka air crash, birdbaths, and notable campus visitors: https://t.co/QJJUGRQjVY https://t.co/G9MBEjkBG9"
870594210553921536,2017-06-02 10:53:29,12,"Nobel Laureate &amp; ANU Vice-Chancellor Prof. Brian Schmidt gave the Sir CV Raman Lecture on ""The Accelerating Universe"" at Faculty Hall https://t.co/SDgbmsfhDn"
868347384069095424,2017-05-27 06:05:24,66,RT @tatatrusts: We observe @iiscbangalore's Founding Day today in memory of #JNTata who conceived and endowed this great establishment. #Pr…
868322321341202432,2017-05-27 04:25:48,87,"IISc turns 108: This day in 1909, the formal vesting order for establishment was signed: https://t.co/17d5CoUSU8 https://t.co/ldBzkVLjXl"
867658226879168512,2017-05-25 08:26:56,12,IISc team finds that etching shiny structure of titanium implants creates nanopillars reducing bacterial infection https://t.co/dPHupolaty
866521191766306816,2017-05-22 05:08:45,7,"RT @Connect_IISc: This Renewable Energy Tech Travelled All the Way From IISc to Antarctica
https://t.co/AMkDk3ty45 https://t.co/Ed1MtbTlGG"
